		0	0		adv
A	A	0	0		subst:sg:nom:f
OSTos	o	0	owie	[ae]y	subst:pl:nom.voc:m1
MNTo	M	a	ie	[^sz]na	subst:sg:loc:m1
MNTo	M	a	o	[^b]abula	subst:sg:voc:m1
MNTo	M	a	o	[^m]atula	subst:sg:voc:m1
L	L	a	u	enia	subst:sg:voc:f
A	A	a	e	[cijl¿]a	subst:pl:nom.acc.voc:f
A	A	a	e	wna	subst:pl:nom.acc.voc:f
A	A	±d¼	êdzie	±d¼	subst:pl:nom.acc.voc:f
A	A	±¼	êzie	±¼	subst:pl:nom.acc.voc:f
ACMN	A	a	e	[cijl¿]a	subst:pl:nom.acc.voc:f
ACMN	ACMN	0	0		subst:sg:nom:f
ACMN	C	ia	ij	[^drt]ia	subst:pl:gen:f
ACMN	C	ia	yj	[drt]ia	subst:pl:gen:f
ACMN	C	ja	yj	ja	subst:pl:gen:f
ACMN	M	a	i	[^bcdfh³mnprstvwz¿]a	subst:sg:gen.dat.loc:f
ACMN	M	a	o	[^l]a	subst:sg:voc:f
ACMN	M	a	±	a	subst:sg:inst:f
ACMN	M	a	ê	[^w]a	subst:sg:acc:f
ACMN	N	0	ch	[^w]a	subst:pl:loc:f
ACMN	N	0	mi	[^w]a	subst:pl:inst:f
ACMN	N	a	om	[^w]a	subst:pl:dat:f
AL	A	a	e	[cijl¿]a	subst:pl:nom.acc.voc:f
AL	AL	0	0		subst:sg:nom:f
AL	L	a	o	[^i]a	subst:sg:voc:f
AL	L	a	±	[ij]a	subst:sg:inst:f
AL	L	a	ê	[ij]a	subst:sg:acc:f
AL	L	ja	i	ja	subst:sg:gen.dat.loc:f
ALN	A	a	e	[cijl¿]a	subst:pl:nom.acc.voc:f
ALN	ALN	0	0		subst:sg:nom:f
ALN	L	a	o	[^aeouy]nia	subst:sg:voc:f
ALN	L	a	o	[^ai]dzia	subst:sg:voc:f
ALN	L	a	o	[^bimrtw¿]unia	subst:sg:voc:f
ALN	L	a	o	[^bmoi]cia	subst:sg:voc:f
ALN	L	a	o	[^i]a	subst:sg:voc:f
ALN	L	a	o	[^id]zia	subst:sg:voc:f
ALN	L	a	o	[^er][oy]nia	subst:sg:voc:f
ALN	L	a	o	pia	subst:sg:voc:f
ALN	L	a	u	[^ê][^w].sia	subst:sg:voc:f
ALN	L	a	u	[bimrtw¿]unia	subst:sg:voc:f
ALN	L	a	±	[ij]a	subst:sg:inst:f
ALN	L	a	ê	[ij]a	subst:sg:acc:f
ALN	L	ia	i	ia	subst:sg:gen.dat.loc:f
ALN	L	ja	i	ja	subst:sg:gen.dat.loc:f
ALN	N	0	ch	[^w]a	subst:pl:loc:f
ALN	N	0	mi	[^w]a	subst:pl:inst:f
ALN	N	a	om	[^w]a	subst:pl:dat:f
ALNT	A	a	e	[cijl¿]a	subst:pl:nom.acc.voc:f
ALNT	ALNT	0	0		subst:sg:nom:m
ALNT	L	a	o	[^i]a	subst:sg:voc:m
ALNT	L	a	u	[^ê][^w].sia	subst:sg:voc:f
ALNT	L	a	u	[bmoi]cia	subst:sg:voc:m
ALNT	L	a	±	[ij]a	subst:sg:inst:f
ALNT	L	a	ê	[ij]a	subst:sg:acc:m
ALNT	L	ia	i	ia	subst:sg:gen.dat.loc:m
ALNT	L	ja	i	ja	subst:sg:gen.dat.loc:m
ALNT	N	0	ch	[^w]a	subst:pl:loc:m
ALNT	N	0	mi	[^w]a	subst:pl:inst:m
ALNT	N	a	om	[^w]a	subst:pl:dat:m
ALNT	T	a	ów	a	subst:pl:gen:m
ALNTm	A	a	e	[cijl¿]a	subst:pl:nom.acc.voc:f
ALNTm	ALNTm	0	0		subst:sg:nom:f
ALNTm	L	a	u	[^ê][^w].sia	subst:sg:voc:f
ALNTm	L	a	±	[ij]a	subst:sg:inst:f
ALNTm	L	a	ê	[ij]a	subst:sg:acc:f
ALNTm	L	ia	i	ia	subst:sg:gen.dat.loc:f
ALNTm	N	0	ch	[^w]a	subst:pl:loc:f
ALNTm	N	0	mi	[^w]a	subst:pl:inst:f
ALNTm	N	a	om	[^w]a	subst:pl:dat:f
ALNTm	T	a	ów	a	subst:pl:gen:f
ALNTm	m	sia	¶	sia	subst:pl:gen:f
ALNTo	A	a	e	[cijl¿]a	subst:pl:nom.acc.voc:m1
ALNTo	ALNTo	0	0		subst:sg:nom:m1
ALNTo	L	a	o	[^ai]dzia	subst:sg:voc:m
ALNTo	L	a	o	[^i]a	subst:sg:voc:m
ALNTo	L	a	u	[ai]dzia	subst:sg:voc:m
ALNTo	L	a	±	[ij]a	subst:sg:inst:m1
ALNTo	L	a	ê	[ij]a	subst:sg:acc:m
ALNTo	L	ia	i	ia	subst:sg:gen.dat.loc:m
ALNTo	L	ja	i	ja	subst:sg:gen.dat.loc:m
ALNTo	N	0	ch	[^w]a	subst:pl:loc:m
ALNTo	N	0	mi	[^w]a	subst:pl:inst:m
ALNTo	N	a	om	[^w]a	subst:pl:dat:m
ALNTo	T	a	ów	a	subst:pl:gen:m
ALNTo	o	a	owie	a	subst:pl:nom:m1
ALNm	A	a	e	[cijl¿]a	subst:pl:nom.acc.voc:f
ALNm	ALNm	0	0		subst:sg:nom:f
ALNm	L	a	o	[^aeouy]nia	subst:sg:voc:f
ALNm	L	a	o	[^ai]dzia	subst:sg:voc:f
ALNm	L	a	o	[^bimrtw¿]unia	subst:sg:voc:f
ALNm	L	a	o	[^bmoi]cia	subst:sg:voc:f
ALNm	L	a	o	[^hi]ania	subst:sg:voc:f
ALNm	L	a	o	[^i]a	subst:sg:voc:f
ALNm	L	a	o	[^id]zia	subst:sg:voc:f
ALNm	L	a	o	[^er][oy]nia	subst:sg:voc:f
ALNm	L	a	o	wusia	subst:sg:voc:f
ALNm	L	a	o	êbusia	subst:sg:voc:f
ALNm	L	a	u	[^ê][^w].sia	subst:sg:voc:f
ALNm	L	a	u	[ai]dzia	subst:sg:voc:f
ALNm	L	a	u	[bimrtw¿]unia	subst:sg:voc:f
ALNm	L	a	u	[bmoi]cia	subst:sg:voc:f
ALNm	L	a	u	[hi]ania	subst:sg:voc:f
ALNm	L	a	u	enia	subst:sg:voc:f
ALNm	L	a	u	izia	subst:sg:voc:f
ALNm	L	a	u	[er][oy]nia	subst:sg:voc:f
ALNm	L	a	±	[ij]a	subst:sg:inst:f
ALNm	L	a	ê	[ij]a	subst:sg:acc:f
ALNm	L	ia	i	ia	subst:sg:gen.dat.loc:f
ALNm	L	ja	i	ja	subst:sg:gen.dat.loc:f
ALNm	N	0	ch	[^w]a	subst:pl:loc:f
ALNm	N	0	mi	[^w]a	subst:pl:inst:f
ALNm	N	a	om	[^w]a	subst:pl:dat:f
ALNm	m	cia	æ	cia	subst:pl:gen:f
ALNm	m	ia		mia	subst:pl:gen:f
ALNm	m	nia	en	[hj]nia	subst:pl:gen:f
ALNm	m	nia	eñ	tnia	subst:pl:gen:f
ALNm	m	nia	ñ	[^djh¶t]nia	subst:pl:gen:f
ALNm	m	oja	ój	oja	subst:pl:gen:f
ALNm	m	sia	¶	sia	subst:pl:gen:f
ALNm	m	zia	¼	zia	subst:pl:gen:f
ALNm	m	¶nia	sien	¶nia	subst:pl:gen:f
ALNn	A	a	e	[cijl¿]a	subst:pl:nom.acc.voc:f
ALNn	ALNn	0	0		subst:sg:nom:f
ALNn	L	a	o	[^i]a	subst:sg:voc:f
ALNn	L	a	±	[ij]a	subst:sg:inst:f
ALNn	L	a	ê	[ij]a	subst:sg:acc:f
ALNn	L	ja	i	ja	subst:sg:gen.dat.loc:f
ALNn	N	0	ch	[^w]a	subst:pl:loc:f
ALNn	N	0	mi	[^w]a	subst:pl:inst:f
ALNn	N	a	om	[^w]a	subst:pl:dat:f
ALNn	n	a		.a	subst:pl:gen:f
ALNn	n	a		[^z]a	subst:pl:gen:f
ALNn	n	a		a	subst:pl:gen:f
AM	A	ñ	nie	ñ	subst:pl:nom.acc.voc:f
AM	AM	0	0		subst:sg:nom:f
AM	M	ñ	ni	[^e]ñ	subst:sg:gen:f
AM	M	ñ	ni±	ñ	subst:sg:inst:f
AMN	A	0	e	[^ó]l	subst:pl:nom.acc.voc:f
AMN	A	0	e	[^±]¿	subst:pl:nom.acc.voc:f
AMN	A	0	e	[cj]	subst:pl:nom.acc.voc:f
AMN	A	a	e	[cijl¿]a	subst:pl:nom.acc.voc:f
AMN	A	ew	wie	[hnt]ew	subst:pl:nom.acc.voc:f
AMN	A	eæ	cie	[h³]eæ	subst:pl:nom.acc.voc:f
AMN	A	iew	wie	[gk]iew	subst:pl:nom.acc.voc:f
AMN	A	ie¶	sie	wie¶	subst:pl:nom.acc.voc:f
AMN	A	ód¼	odzie	ód¼	subst:pl:nom.acc.voc:f
AMN	A	ól	ole	ól	subst:pl:nom.acc.voc:f
AMN	A	æ	cie	[^e]æ	subst:pl:nom.acc.voc:f
AMN	A	æ	cie	[^h³]eæ	subst:pl:nom.acc.voc:f
AMN	A	ñ	nie	ñ	subst:pl:nom.acc.voc:f
AMN	A	¶	sie	[ou]¶	subst:pl:nom.acc.voc:f
AMN	A	¼	zie	[^±d]¼	subst:pl:nom.acc.voc:f
AMN	A	¼	zie	[^±ó]d¼	subst:pl:nom.acc.voc:f
AMN	AMN	0	0		subst:sg:nom:f
AMN	M	0	i	[^ó]l	subst:sg:gen:f
AMN	M	0	i	p	subst:sg:gen:f
AMN	M	0	y	[^±]¿	subst:sg:gen:f
AMN	M	0	y	c	subst:sg:gen:f
AMN	M	0	±	[^ó]l	subst:sg:inst:f
MNm	M	0	±	[yi]ni	subst:sg:inst:f
AMN	M	0	±	c	subst:sg:inst:f
AMN	M	0	±	¿	subst:sg:inst:f
AMN	M	a	i	[^bcdfh³mnprstvwz¿]a	subst:sg:gen:f
AMN	M	a	o	[^a][bt]ula	subst:sg:voc:f
AMN	M	a	o	[^bt]ula	subst:sg:voc:f
AMN	M	a	o	[^l]a	subst:sg:voc:f
AMN	M	a	o	[^u]la	subst:sg:voc:f
AMN	M	a	y	[bcdfh³mprstvz¿]a	subst:sg:gen:f
AMN	M	a	±	a	subst:sg:inst:f
AMN	M	a	ê	[^w]a	subst:sg:acc:f
AMN	M	ew	wi	[hnt]ew	subst:sg:gen:f
AMN	M	ew	wi±	[rt]ew	subst:sg:inst:f
AMN	M	eæ	ci	[h³]eæ	subst:sg:gen:f
AMN	M	eæ	ci±	[h³]eæ	subst:sg:inst:f
AMN	M	iew	wi	[gk]iew	subst:sg:gen:f
M	M	iew	wi	[gk]iew	subst:sg:gen:f
AMN	M	iew	wi±	[gk]iew	subst:sg:inst:f
M	M	iew	wi±	[gk]iew	subst:sg:inst:f
AMN	M	ie¶	si	wie¶	subst:sg:gen:f
AMN	M	ie¶	si±	wie¶	subst:sg:inst:f
AMN	M	ód¼	odzi	ód¼	subst:sg:gen:f
AMN	M	ód¼	odzi±	ód¼	subst:sg:inst:f
AMN	M	ól	oli	ól	subst:sg:gen:f
AMN	M	ól	ol±	ól	subst:sg:inst:f
AMN	M	æ	ci	[^e]¶æ	subst:sg:gen:f
AMN	M	æ	ci	[^e¶]æ	subst:sg:gen:f
AMN	M	æ	ci	[^h³]eæ	subst:sg:gen:f
AMN	M	æ	ci	[^z]e¶æ	subst:sg:gen:f
AMN	M	æ	ci±	[^e]¶æ	subst:sg:inst:f
AMN	M	æ	ci±	[^e¶]æ	subst:sg:inst:f
AMN	M	æ	ci±	[^h³]eæ	subst:sg:inst:f
AMN	M	æ	ci±	[^z]e¶æ	subst:sg:inst:f
AMN	M	ñ	ni	[^d]eñ	subst:sg:gen:f
AMN	M	ñ	ni	[^e]ñ	subst:sg:gen:f
AMN	M	ñ	ni±	ñ	subst:sg:inst:f
AMN	M	¶	si	[^e]¶	subst:sg:gen:f
AMN	M	¶	si±	[^e]¶	subst:sg:inst:f
AMN	M	¼	zi	[^±d]¼	subst:sg:gen:f
AMN	M	¼	zi	[^±ó]d¼	subst:sg:gen:f
AMN	M	¼	zi±	[^d]¼	subst:sg:inst:f
AMN	M	¼	zi±	[^ó]d¼	subst:sg:inst:f
AMN	N	0	ach	[^s]z	subst:pl:loc:f
AMN	N	0	ach	[^ó]l	subst:pl:loc:f
AMN	N	0	ach	[^±]¿	subst:pl:loc:f
AMN	N	0	ach	c	subst:pl:loc:f
AMN	N	0	ami	[^s]z	subst:pl:inst:f
AMN	N	0	ami	[^ó]l	subst:pl:inst:f
AMN	N	0	ami	[^±]¿	subst:pl:inst:f
AMN	N	0	ami	c	subst:pl:inst:f
AMN	N	0	ch	[^w]a	subst:pl:loc:f
AMN	N	0	e	[^cs]z	subst:pl:nom.acc.voc:f
AMN	N	0	mi	[^w]a	subst:pl:inst:f
AMN	N	0	om	[^s]z	subst:pl:dat:f
AMN	N	0	om	[^ó]l	subst:pl:dat:f
AMN	N	0	om	[^±]¿	subst:pl:dat:f
AMN	N	0	om	c	subst:pl:dat:f
AMN	N	a	om	[^w]a	subst:pl:dat:f
AMN	N	ew	wiach	[hnt]ew	subst:pl:loc:f
AMN	N	ew	wiami	[hnt]ew	subst:pl:inst:f
